bookID,title,short_title
10069, Account of the Romansh Language|In a Letter to Sir John Pringle, Bart. P. R. S.,Account of the Romansh Language
10111, Boys and Girls from Thackeray,Boys and Girls from Thackeray
1019, Poems by Currer, Ellis, and Acton Bell,Poems by Currer, Ellis, and Acton Bell
10616, An Essay Concerning Humane Understanding, Volume 2|MDCXC, Based on the 2nd Edition, Books 3 and 4,An Essay Concerning Humane Understanding, Volume 2
10640, Beacon Lights of History, Volume 09: European Statesmen,Beacon Lights of History, Volume 09: European Statesmen
11039, A Woman's Journey Round the World|From Vienna to Brazil, Chili, Tahiti, China, Hindostan, Persia and Asia Minor,A Woman's Journey Round the World
1134, The Winter's Tale,The Winter's Tale
11356, A Tale of One City: the New Birmingham|Papers Reprinted from the Midland Counties Herald,A Tale of One City: the New Birmingham
1136, King Henry the Eighth,King Henry the Eighth
11373, Through the Wall,Through the Wall
11478, Bedridden and the Winter Offensive|Deep Waters, Part 8.,Bedridden and the Winter Offensive
11711, When hearts are trumps,When hearts are trumps
11759, The Bicyclers and Three Other Farces,The Bicyclers and Three Other Farces
120, Treasure Island,Treasure Island
12109, The House That Jack Built|One of R. Caldecott's Picture Books,The House That Jack Built
12137, La L̩gende des Si̬cles,La L̩gende des Si̬cles
12366, The Cost of Shelter,The Cost of Shelter
12470, A Perilous Secret,A Perilous Secret
12523, Crusaders of New France|A Chronicle of the Fleur-de-Lis in the Wilderness|Chronicles of America, Volume 4,Crusaders of New France
1262, The Heritage of the Desert: A Novel,The Heritage of the Desert: A Novel
12684, Dorian,Dorian
12701, The Suffering of Being Kafka,The Suffering of Being Kafka
13031, Indian Games and Dances with Native Songs,Indian Games and Dances with Native Songs
13229, The Revelation Explained|An Exposition, Text by Text, of the Apocalypse of St. John,The Revelation Explained
13414, Love and Other Stories,Love and Other Stories
13444, Searchlights on Health: The Science of Eugenics,Searchlights on Health: The Science of Eugenics
1345, The Vicar of Tours,The Vicar of Tours
13579, Slave Narratives: a Folk History of Slavery in the United States|From Interviews with Former Slaves|Indiana Narratives,Slave Narratives: a Folk History of Slavery in the United States
13616, The Philippine Islands, 1493-1803 - Volume 03 of 55|1569-1576|Explorations by Early Navigators, Descriptions of the Islands and Their Peoples, Their History and Records of the Catholic Missions, as Related in Contemporaneous Books and Manuscripts, Showing the Political, Economic, Commercial and Religious Conditions of Those Islands from Their Earliest Relations with European Nations to the Beginning of the Nineteenth Century,The Philippine Islands, 1493-1803 - Volume 03 of 55
1389, Gobseck,Gobseck
13905, John of the Woods,John of the Woods
14203, Varied Types,Varied Types
1436, A Voyage to Abyssinia,A Voyage to Abyssinia
14444, The Complete English Tradesman (1839 ed.),The Complete English Tradesman (1839 ed.)
14466, South African Memories|Social, Warlike & Sporting from Diaries Written at the Time,South African Memories
14470, The German Classics of the Nineteenth and Twentieth Centuries, Volume 12,The German Classics of the Nineteenth and Twentieth Centuries, Volume 12
14590, A New Hochelagan Burying-ground Discovered at Westmount on the Western Spur of Mount Royal, Montreal, July-September, 1898,A New Hochelagan Burying-ground Discovered at Westmount on the Western Spur of Mount Royal, Montreal, July-September, 1898
15101, The Mountain Spring and Other Poems,The Mountain Spring and Other Poems
15533, The Present Picture of New South Wales (1811),The Present Picture of New South Wales (1811)
15568, The Law and the Word,The Law and the Word
15610, First Love, and Other Fascinating Stories of Spanish Life|Little Blue Book No. 1195,First Love, and Other Fascinating Stories of Spanish Life
1578, Aucassin and Nicolete,Aucassin and Nicolete
15788, Waste: A Tragedy, In Four Acts,Waste: A Tragedy, In Four Acts
15800, How to Teach Religion|Principles and Methods,How to Teach Religion
15808, The History of Richard Raynal, Solitary,The History of Richard Raynal, Solitary
15966, A Voyage of Consolation|(being in the nature of a sequel to the experiences of 'An American girl in London'),A Voyage of Consolation
1604, The Ebb-Tide: A Trio And Quartette,The Ebb-Tide: A Trio And Quartette
16230, Fat and Blood|An Essay on the Treatment of Certain Forms of Neurasthenia and Hysteria,Fat and Blood
16233, An Essay towards Fixing the True Standards of Wit, Humour, Railery, Satire, and Ridicule (1744),An Essay towards Fixing the True Standards of Wit, Humour, Railery, Satire, and Ridicule (1744)
16325, Science in Arcady,Science in Arcady
16548, Life of Lord Byron, Vol. 3|With His Letters and Journals,Life of Lord Byron, Vol. 3
16609, Life of Lord Byron, Vol. 5|With His Letters and Journals,Life of Lord Byron, Vol. 5
16712, Some Turns of Thought in Modern Philosophy: Five Essays,Some Turns of Thought in Modern Philosophy: Five Essays
16938, Pressure, Resistance, and Stability of Earth|American Society of Civil Engineers: Transactions, Paper No. 1174, Volume LXX, December 1910,Pressure, Resistance, and Stability of Earth
17148, Cessions of Land by Indian Tribes to the United States: Illustrated by Those in the State of Indiana|First Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1879-80, Government Printing Office, Washington, 1881, pages 247-262,Cessions of Land by Indian Tribes to the United States: Illustrated by Those in the State of Indiana
17196, Life of Adam Smith,Life of Adam Smith
17206, Over There with the Australians,Over There with the Australians
17247, A Selection of Books published by Methuen and Co. Ltd., London, 36, Essex Street, W.C, September, 1911,A Selection of Books published by Methuen and Co. Ltd., London, 36, Essex Street, W.C, September, 1911
17325, History of Egypt, Chald\xe6a, Syria, Babylonia, and Assyria, Volume 5 (of 12),History of Egypt, Chald\xe6a, Syria, Babylonia, and Assyria, Volume 5 (of 12)
17428, Pembroke: A Novel,Pembroke: A Novel
1749, Cousin Betty,Cousin Betty
17531, The Botanical Magazine, Vol. 02|Or, Flower-Garden Displayed,The Botanical Magazine, Vol. 02
1794, King Lear,King Lear
18119, How to Teach Phonics,How to Teach Phonics
18170, The Excellence of the Rosary|Conferences for Devotions in Honor of the Blessed Virgin,The Excellence of the Rosary
18187, Hebrew Life and Times,Hebrew Life and Times
18237, A Bird Calendar for Northern India,A Bird Calendar for Northern India
18251, Latin for Beginners,Latin for Beginners
18854, The Gourmet's Guide to Europe,The Gourmet's Guide to Europe
1888, The Bittermeads Mystery,The Bittermeads Mystery
18933, Man to Man,Man to Man
19195, Rollo in the Woods,Rollo in the Woods
19311, The Outdoor Girls in Florida; Or, Wintering in the Sunny South,The Outdoor Girls in Florida; Or, Wintering in the Sunny South
1937, The Second Jungle Book,The Second Jungle Book
19377, A Brief Account of the Rise and Progress of the People Called Quakers,A Brief Account of the Rise and Progress of the People Called Quakers
19384, On Christmas Day In The Evening,On Christmas Day In The Evening
19392, The Little Tea Book,The Little Tea Book
19443, Our Profession and Other Poems,Our Profession and Other Poems
19735, Phantom Wires: A Novel,Phantom Wires: A Novel
19752, Quisant̩,Quisant̩
19897, Riley Love-Lyrics,Riley Love-Lyrics
19948, Potash and Perlmutter Settle Things,Potash and Perlmutter Settle Things
2006, A Fair Penitent,A Fair Penitent
2014, The Lodger,The Lodger
20179, The Ship of Fools, Volume 1,The Ship of Fools, Volume 1
20420, Real Ghost Stories,Real Ghost Stories
2049, Liber Amoris, Or, The New Pygmalion,Liber Amoris, Or, The New Pygmalion
20569, Dulcibel: A Tale of Old Salem,Dulcibel: A Tale of Old Salem
2084, The Way of All Flesh,The Way of All Flesh
20967, A Guide to Peterborough Cathedral|Comprising a brief history of the monastery from its foundation to the present time, with a descriptive account of its architectural peculiarities and recent improvements; compiled from the works of Gunton, Britton, and original & authentic documents,A Guide to Peterborough Cathedral
21051, Skylark Three,Skylark Three
21070, A Middy of the Slave Squadron: A West African Story,A Middy of the Slave Squadron: A West African Story
21205, The Gold Trail,The Gold Trail
21214, The Law and Lawyers of Pickwick|A Lecture,The Law and Lawyers of Pickwick
21305, A Dash from Diamond City,A Dash from Diamond City
21330, Robert Burns,Robert Burns
21356, Nat the Naturalist: A Boy's Adventures in the Eastern Seas,Nat the Naturalist: A Boy's Adventures in the Eastern Seas
21432, Aunt Judith: The Story of a Loving Life,Aunt Judith: The Story of a Loving Life
21465, Hurricane Hurry,Hurricane Hurry
21493, Twice Lost,Twice Lost
21700, Don Juan,Don Juan
21788, Held Fast For England: A Tale of the Siege of Gibraltar (1779-83),Held Fast For England: A Tale of the Siege of Gibraltar (1779-83)
21794, The Boy from the Ranch; Or, Roy Bradner's City Experiences,The Boy from the Ranch; Or, Roy Bradner's City Experiences
21876, Mary Louise and the Liberty Girls,Mary Louise and the Liberty Girls
21956, Report of the Knaresbrough Rail-way Committee,Report of the Knaresbrough Rail-way Committee
22012, The Rover Boys on a Hunt; or, The Mysterious House in the Woods,The Rover Boys on a Hunt; or, The Mysterious House in the Woods
22201, The Butterfly's Funeral|A Sequel to the Butterfly's Ball and Grasshopper's Feast,The Butterfly's Funeral
22232, The Carved Cupboard,The Carved Cupboard
2227, Soldiers Three - Part 2,Soldiers Three - Part 2
22675, Home Life in Colonial Days,Home Life in Colonial Days
22701, The Blindman's World|1898,The Blindman's World
2274, How to Live on 24 Hours a Day,How to Live on 24 Hours a Day
22877, Lavengro|The Scholar - The Gypsy - The Priest, Vol. 1 (of 2),Lavengro
22911, Where We Live|A Home Geography,Where We Live
22996, The Rover Boys on Snowshoe Island; or, The Old Lumberman's Treasure Box,The Rover Boys on Snowshoe Island; or, The Old Lumberman's Treasure Box
23171, The Tipster|1901, From Wall Street Stories,The Tipster
23258, Journal of Jasper Danckaerts, 1679-1680,Journal of Jasper Danckaerts, 1679-1680
23319, Mechanical Drawing Self-Taught|Comprising instructions in the selection and preparation of drawing instruments, elementary instruction in practical mechanical drawing; together with examples in simple geometry and elementary mechanism, including screw threads, gear wheels, mechanical motions, engines and boilers,Mechanical Drawing Self-Taught
23377, The Lively Poll: A Tale of the North Sea,The Lively Poll: A Tale of the North Sea
23385, Saved by the Lifeboat,Saved by the Lifeboat
23426, The Last Place on Earth,The Last Place on Earth
23474, The Bishop's Secret,The Bishop's Secret
23686, The Life and Adventures of Poor Puss,The Life and Adventures of Poor Puss
23777, An Essay on the Shaking Palsy,An Essay on the Shaking Palsy
23779, A Little Girl in Old Quebec,A Little Girl in Old Quebec
23790, The Ultimate Weapon,The Ultimate Weapon
23826, A Sketch of the Life of the late Henry Cooper|Barrister-at-Law, of the Norfolk Circuit; as also, of his Father,A Sketch of the Life of the late Henry Cooper
24194, No Compromise with Slavery|An Address Delivered to the Broadway Tabernacle, New York,No Compromise with Slavery
24210, Deerbrook,Deerbrook
24278, The Green Beret,The Green Beret
24287, The Man from the Bitter Roots,The Man from the Bitter Roots
2431, Is Shakespeare Dead?|From My Autobiography,Is Shakespeare Dead?
2443, The Story of the Mormons, from the Date of Their Origin to the Year 1901,The Story of the Mormons, from the Date of Their Origin to the Year 1901
24561, A Report of the Debates and Proceedings in the Secret Sessions of the Conference Convention|For Proposing Amendments to the Constitution of the United States, Held at Washington, D.C., in February, A.D. 1861,A Report of the Debates and Proceedings in the Secret Sessions of the Conference Convention
24685, Heroes of the Goodwin Sands,Heroes of the Goodwin Sands
24759, The Kingdom of Heaven; What is it?,The Kingdom of Heaven; What is it?
25140, Indian Story and Song, from North America,Indian Story and Song, from North America
25174, Rollo in Scotland,Rollo in Scotland
25184, A Dissertation on the Medical Properties and Injurious Effects of the Habitual Use of Tobacco,A Dissertation on the Medical Properties and Injurious Effects of the Habitual Use of Tobacco
2525, John Ingerfield, and Other Stories,John Ingerfield, and Other Stories
25267, Astronomy for Amateurs,Astronomy for Amateurs
2528, The Women of the French Salons,The Women of the French Salons
25404, The Lost Child,The Lost Child
25523, Old Junk,Old Junk
25573, The Drama Of Three Hundred & Sixty-Five Days: Scenes In The Great War,The Drama Of Three Hundred & Sixty-Five Days: Scenes In The Great War
2558, Poems,Poems
25684, A World Called Crimson,A World Called Crimson
25848, William the Conqueror|Makers of History,William the Conqueror
26094, Hebrew Heroes: A Tale Founded on Jewish History,Hebrew Heroes: A Tale Founded on Jewish History
26236, Vixen, Volume I.,Vixen, Volume I.
26283, The Huntress,The Huntress
26367, The Young Alaskans on the Missouri,The Young Alaskans on the Missouri
26513, A Spelling-Book for Advanced Classes,A Spelling-Book for Advanced Classes
26639, A Brief Commentary on the Apocalypse,A Brief Commentary on the Apocalypse
2674, The Complete Writings of Charles Dudley Warner - Volume 4,The Complete Writings of Charles Dudley Warner - Volume 4
26993, The Copper Princess: A Story of Lake Superior Mines,The Copper Princess: A Story of Lake Superior Mines
27509, The 2006 CIA World Factbook,The 2006 CIA World Factbook
27513, The Book of the National Parks,The Book of the National Parks
27556, Across the Equator|A Holiday Trip in Java,Across the Equator
27646, The Orchestral Conductor: Theory of His Art,The Orchestral Conductor: Theory of His Art
27665, Junior Achievement,Junior Achievement
27696, A Fine Fix,A Fine Fix
27792, The Arrow-Maker: A Drama in Three Acts,The Arrow-Maker: A Drama in Three Acts
27880, Evening Dress|Farce,Evening Dress
27935, Under Fire: A Tale of New England Village Life,Under Fire: A Tale of New England Village Life
27981, The Plant Hunters: Adventures Among the Himalaya Mountains,The Plant Hunters: Adventures Among the Himalaya Mountains
27987, Glory and the Other Girl,Glory and the Other Girl
28019, Birds in the Bush,Birds in the Bush
