authorID,fullName
a0268,"John, Schoenherr"
a0269,"Pauline, Ashwell"
a027,"James Branch, Cabell"
a0270,"J. (Joseph), Ashby-Sterry"
a0271,"Alexander, Black"
a0272,"Stephen M., Ostrander"
a0273,"L. Frank (Lyman Frank), Baum"
a0274,"Alice, Carsey"
a0275,"John, Locke"
a0276,"Robert W. (Robert Walter), Bruère"
a0277,"F., Anstey"
a0278,"Frances Chamberlaine, Sheridan"
a0279,"James Whitcomb, Riley"
a028,"George Pope, Morris"
a0280,"Will, Vawter"
a0281,"Francis, Parkman"
a0282,"Bernard, Shaw"
a0283,"Kenneth, Ingram"
a0284,"James, Waring"
a0285,"William Edward, Duellman"
a0286,"George W. (George Walker), Bush"
a0287,"Lee J. (Lee Joseph), Levinger"
a0288,"Amy, Le Feuvre"
a0289,"John, Marston"
a029,"Eliza, Leslie"
a0290,"A. H. (Arthur Henry), Bullen"
a0291,"A.L., Non"
a0292,"John Safford, Fiske"
a0293,"Gustave, Doré"
a0294,"Hippolyte, Taine"
a0295,"Francis Hindes, Groome"
a0296,"George, Borrow"
a0297,"John, McElroy"
a0298,"Stephen, Leacock"
a0299,"Emily Sarah, Holt"
a03,"Lloyd, Osbourne"
a030,"Albert Bigelow, Paine"
a0300,"Laura Lee, Hope"
a0301,"Darius John, Granger"
a0302,"Noah, Webster"
a0303,"Project, Non"
a0304,"Gustav, Kobbé"
a0305,"Thomas Bailey, Aldrich"
a0306,"Miguel de, Cervantes Saavedra"
a0307,"John, Ormsby"
a0308,"Inez Haynes, Gillmore"
a0309,"G. K. (Gilbert Keith), Chesterton"
a031,"William, Shakespeare"
a0310,"S. (Sabine), Baring-Gould"
a0311,"Jim, Harmon"
a0312,"William Lloyd, Garrison"
a0313,"Sidney Lewis, Gulick"
a0314,"John, Keats"
a0315,"William James, Neatby"
a0316,"May Clarissa Gillington, Byron"
a0317,"W. D. (William Douw), Lighthall"
a0318,"Charles M. (Charles Montgomery), Skinner"
a0319,"William M., Lee"
a032,"Arthur, Hervey"
a0320,"Lionel, Lisle"
a0321,"John, Rae"
a0322,"Robert, Barr"
a0323,"John, O'Keeffe"
a0324,"Mrs., Inchbald"
a0325,"Marie, Lebert"
a0326,"Edwin Milton, Royle"
a0327,"Julia Truitt, Bishop"
a0328,"Arthur Scott, Bailey"
a0329,"Harry L., Smith"
a033,"Flora Annie Webster, Steel"
a0330,"Oliver Herbrand Gordon, Leigh"
a0331,"Charles, Morris"
a0332,"L. E. (Lucius Eugene), Chittenden"
a0333,"Charles, Gilson"
a0334,"Richard Caton, Woodville"
a0335,"Louise Bennett, Weaver"
a0336,"Helen Cowles, LeCron"
a0337,"Elizabeth, Colbourne"
a0338,"William Clark, Russell"
a0339,"James, Parkinson"
a0340,"D. L., Mays"
a0341,"Harry, Collingwood"
a0342,"William Bennett, Munro"
a0343,"Allen, Johnson"
a0344,"Charles, Welsh"
a0345,"C. A., Butz"
a0346,"Francis, Lynde"
a0347,"W. E. (William Edward), Winks"
a0348,"William, Curtis"
a0349,"Arthur, Chapman"
a035,"H. Rider (Henry Rider), Haggard"
a0350,"George, Cruikshank"
a0351,"Blanchard, Jerrold"
a0352,"Harold, Bindloss"
a0353,"Lyman Horace, Weeks"
a0354,"T. K. (Thomas Kelly), Cheyne"
a0355,"W. W. (William Wymark), Jacobs"
a0356,"Hermann, Sudermann"
a0357,"Lily, Henkel"
a0358,"Elizabeth, Lee"
a0359,"Thomas, Anderton"
a036,"Ernie, Barth"
a0360,"John Wood, Clay"
a0361,"Maynard, Dixon"
a0362,"Clarence Edward, Mulford"
a0363,"F. (Frederick), Strothmann"
a0364,"Harry, Graham"
a0365,"William Fayette, Fox"
a0366,"Sara Jeannette, Duncan"
a0367,"Abbie Farwell, Brown"
a0368,"Tom, Purdom"
a0369,"Joseph Crosby, Lincoln"
a037,"Donald, Colvin"
a0370,"Edouard, Riou"
a0371,"Jules, Verne"
a0372,"Walter, Scott"
a0373,"H. C. (Harry Crécy), Yarrow"
a0374,"S. K. (Samuel Kerkham), Ratcliffe"
a0375,"H. M. (Henry Major), Tomlinson"
a0376,"R. H. (Robert Hayward), Barlow"
a0377,"Rosa Nouchette, Carey"
a0378,"Mary Hunter, Austin"
a0379,"Lieut.-Col. (Nathaniel), Newnham-Davis"
a038,"M. E. (Mary Elizabeth), Braddon"
a0380,"Algernon, Bastard"
a0381,"J. L. (James Lawrence), Nichols"
a0382,"B. G. (Benjamin Grant), Jefferis"
a0383,"Mary Eleanor Wilkins, Freeman"
a0384,"L. T., Meade"
a0385,"J., Williamson"
a0386,"Arnold, Bennett"
a0387,"Bob, Ritter"
a0388,"Henry, Slesar"
a0389,"Bolesław, Prus"
a039,"Morley, Roberts"
a0390,"S. A. (Sofia Andreevna), Tolstaia"
a0391,"S. S. (Samuel Solomonovitch), Koteliansky"
a0392,"Leonard, Woolf"
a0393,"V. S. (Vasilii Spiridonovich), Spiridonov"
a0394,"Julian, Hawthorne"
a0395,"Edward, Whymper"
a0396,"Harriet, Martineau"
a0397,"Harley, Granville-Barker"
a0398,"Gilbert, Parker"
a0399,"Cleveland, Moffett"
a04,"Robert Louis, Stevenson"
a040,"Arthur William, Brown"
a0400,"Gertrude W., Morrison"
a0402,"William, Strunk"
a0403,"J., Non"
a0404,"Mary, Cholmondeley"
a0405,"Tom, Hall"
a0406,"K\xe4the, Schirmacher"
a0407,"Carl Conrad, Eckhardt"
a0408,"D. D. (David Dickinson), Mann"
a0409,"Mary C. E., Wemyss"
a041,"Frank, Southgate"
a0410,"Katharine Prescott, Wormeley"
a0411,"Francis, Non"
a0412,"Frances Carruth, Prindle"
a0413,"Anna Katharine, Green"
a0414,"Arthur, Milman"
a0415,"S. (Salomon), Kohn"
a0416,"Diane, Dillon"
a0417,"Leo, Dillon"
a0418,"William W., Stuart"
a0419,"Amanda M., Douglas"
a042,"James Edmund, Vincent"
a0420,"Frank X., Leyendecker"
a0421,"Will, Crawford"
a0422,"Cyrus Townsend, Brady"
a0423,"William J., Glackens"
a0424,"Howard Chandler, Christy"
a0425,"Robert, Chambers"
a0426,"William, Chambers"
a0427,"C. M. (Clara Miller), Burd"
a0428,"Carolyn Sherwin, Bailey"
a0429,"A. (Alvan), McAllister"
a043,"Elizabeth Porter, Gould"
a0430,"Moses, Stuart"
a0431,"J. C., Meem"
a0432,"Kate Dickinson, Sweetser"
a0433,"Ethel C. (Ethel Claire), Brill"
a0434,"W. H., Wolf"
a0436,"Serafín, Estébanez Calderón"
a0437,"Pedro Antonio de, Alarcón"
a0438,"Armando, Palacio Valdés"
a044,"Annie Hamilton, Donnell"
a0440,"Juan Eugenio, Hartzenbusch"
a0441,"E. (Emanuel), Haldeman-Julius"
a0442,"Jared, Barhite"
a0443,"Florence Morse, Kingsley"
a0444,"Alexandre, Dumas"
a0445,"Ray C., Noll"
a0446,"H. R., Van Dongen"
a0448,"Milo, Winter"
a0449,"John, Ruskin"
a045,"Thomas P., Thayer"
a0450,"Jasper, Danckaerts"
a0451,"J. Franklin (John Franklin), Jameson"
a0452,"Bartlett Burleigh, James"
a0453,"John, Mills"
a0454,"Edward, Bellamy"
a0455,"Henry, Lawson"
a0456,"Lucy, Gray"
a0457,"Emerson, Hough"
a0458,"George, Newnes"
a0459,"Gustav, Freytag"
a0460,"Theodor, Fontane"
a0461,"R., Lillie"
a0462,"Sara Agnes Rice, Pryor"
a0463,"William de Leftwich, Dodge"
a0464,"Benjamin L. (Benjamin Leonard), D'Ooge"
a0465,"T. (Thomas), Troward"
a0466,"Fyodor, Dostoyevsky"
a0467,"Frank Andrew, Munsey"
a0468,"Joseph Robert, Wilson"
a047,"Charles C., Royce"
a0470,"William, Cooper"
a0471,"Montague, Glass"
a0472,"Gordon, Browne"
a0473,"G. A. (George Alfred), Henty"
a0474,"Elizabeth Missing, Sewell"
a0476,"Ingeborg, Andersen"
a0477,"A. B. (Anders Bjarn), Drachmann"
a0478,"Lewis R. (Lewis Ransome), Freeman"
a0479,"Henry, Kingsley"
a048,"Beverley, Nichols"
a0480,"J. B. (Joseph Barber), Lightfoot"
a0481,"Samuel Hopkins, Adams"
a0482,"Frank E., Schoonover"
a0483,"Grant, Allen"
a0484,"Maria, Edgeworth"
a0485,"Richard Lovell, Edgeworth"
a0486,"Arthur, Stringer"
a0487,"William, Hazlitt"
a0488,"John, Stevens"
a0489,"Bartolomé, Leonardo de Argensola"
a049,"Laurence, Costelloe"
a0490,"Daniel, Young"
a0491,"Paul, Orban"
a0492,"Gene L., Henderson"
a0493,"H. B., Hickey"
a0494,"Berdmore, Compton"
a0495,"Winston, Churchill"
a0496,"Robert, Cushman"
a0497,"Harold, Piffard"
a0498,"Richard, Marsh"
a0499,"Arthur, Morrison"
a05,"William, Ashman"
a050,"Harold B. (Harold Bruce), Hunting"
a0500,"S. (Sidney), Levett Yeats"
a0501,"Frank V., Webster"
a0502,"Joshua, Rose"
a0503,"Grant, Balfour"
a0504,"Fergus, Hume"
a0505,"Joseph, Planta"
a0506,"Dick, Purcell"
a0507,"Louis, Arundel"
a0508,"William Alexander, Linn"
