cityID,name,lat,lon
1256343,Sihor,21.71134,71.96179
1257629,Salem,11.65376,78.15538
1260045,Patti,31.28092,74.85849
1260086,Patna,25.59408,85.13563
1261871,Naraini,25.19033,80.475
1262771,Morena,26.49892,77.99534
1263214,Meerut,28.98002,77.70636
1263293,Maur,30.08333,75.25
1264733,Lucknow,26.83928,80.92313
1267979,K\u0101nt,27.81049,79.79185
1269743,Indore,22.71792,75.8333
1269751,Indi,17.17735,75.9526
1269843,Hyderabad,17.38405,78.45636
1270239,Hassan,13.00715,76.0962
1270642,Gurgaon,28.4601,77.02635
1272657,Diamond Harbour,22.19303,88.18466
1273294,Delhi,28.65195,77.23149
1273618,Daman,20.41431,72.83236
1273874,Cochin,9.93988,76.26022
1274984,Canning,22.31453,88.66248
1276574,Bela,25.92058,81.99629
1276767,Basi,26.8315,76.04856
1277539,B\u0101li,22.64859,88.34115
1278432,Arcot,12.90569,79.31897
1278483,Arrah,25.55629,84.66335
1278969,Along,28.16951,94.8006
1279068,Aland,17.56425,76.56854
1279299,Agar,23.71177,76.01571
1282027,Male,4.17521,73.50916
1295395,Syriam,16.76887,96.24503
1311874,Mandalay,21.97473,96.08359
1348818,Nangi,22.50833,88.21528
1486209,Yekaterinburg,56.8519,60.6122
1490140,Tara,56.89436,74.37096
1496153,Omsk,54.99244,73.36859
1502026,Krasnoyarsk,56.01839,92.86717
1518296,Tekeli,44.83322,78.83089
1527592,Naryn,41.42866,75.99111
1529641,Aral,40.54184,81.26566
1609350,Bangkok,13.75398,100.50144
1624041,Ternate,0.79065,127.38424
1632358,Pare,-7.7679,112.198
1635283,Metro,-5.11306,105.30667
1644932,Ende,-8.8432,121.6623
1680007,Victorias,10.90154,123.0705
1682478,Teresa,14.5612,121.2195
1684016,Talavera,15.5883,120.9192
1685755,Sorsogon,12.97389,123.99333
1687534,Santo Tomas,14.1079,121.14136
1687894,Santa Rosa,14.31222,121.11139
1688253,Santa Cruz,14.2814,121.4161
1688363,Santa Catalina,9.3337,122.8637
1688749,San Pedro,14.3595,121.0473
1688795,San Pascual,13.81045,121.022
1688830,San Pablo,14.0683,121.3256
1688859,San Nicolas,18.1725,120.5953
1689056,San Mateo,14.6982,121.1236
1690039,San Fernando,15.03425,120.68445
1691441,Roxas,17.11894,121.62014
1691911,Ramon,16.78416,121.53504
1697023,Orion,14.62056,120.58167
1698829,Naga,13.61917,123.18139
1699205,Morong,14.51849,121.23778
1699296,Rodriguez,14.76011,121.19993
1700179,Mauban,14.191,121.7309
1701668,Manila,14.6042,120.9822
1705572,Lopez,13.884,122.2604
1707049,Laur,15.5865,121.1834
1710518,Isabela,10.2048,122.9888
1711829,Hermosa,14.8314,120.5081
1713004,Gerona,15.6065,120.5978
1713818,Escalante,10.84028,123.49917
1714441,Don Carlos,7.68,125.005
1716858,Cordova,10.24394,123.94222
1717053,Compostela,7.67306,126.08889
1718078,Castillejos,14.93363,120.19785
1718306,Carmona,14.3132,121.0576
1718328,Cogan,10.59306,124.01778
1721168,Cadiz,10.9465,123.288
1722985,Bulan,12.67139,123.875
1730097,Asia,9.5506,122.5164
1731486,Alicia,16.77936,121.69734
1733874,Beaufort,5.3473,115.7455
1734759,Malacca,2.196,102.2405
1734781,Banting,2.8136,101.50185
1735076,Butterworth,5.3991,100.36382
1738050,Miri,4.39928,113.99163
1759486,Kuang,3.2594,101.5541
1795842,Shaping,22.77019,112.95776
1796236,Shanghai,31.22222,121.45806
1805618,Jingling,30.65,113.1
1809412,Guli,28.88162,120.03308
1839726,Asan,36.78361,127.00417
1848004,Zama,35.4879,139.39101
1848354,Yokohama,35.43333,139.65
1850147,Tokyo,35.6895,139.69171
1852225,Shimonoseki,33.95,130.95
1852472,Shimada,34.81667,138.18333
1855540,Naze,28.36667,129.48333
1856586,Mori,34.83333,137.93333
1857046,Mino,34.82691,135.47057
1861400,Ishii,34.06752,134.44208
1864134,Fuji,35.16667,138.68333
1865309,Anan,33.91667,134.65
1879682,Anak,38.51083,125.49417
1937031,Same,-9.00581,125.64617
