authorID,fullName,firstName,surName,title
w1100013, Blackwood, Algernon, Algernon, Blackwood, 
w11000130, Orth, Samuel Peter, Samuel Peter, Orth, 
w11000131, Lafferty, Maude Ward, Maude Ward, Lafferty, 
w11000132, New Zealand. Committee of Inquiry into Mental Defectives and Sexual Offenders, New, Zealand. Committee of Inquiry into Mental Defectives and Sexual Offenders, 
w11000133, Lowe, Robert William, Robert William, Lowe, 
w11000134, Doran, Dr. (John), Dr. (John), Doran, 
w11000135, Shakespeare, William, William, Shakespeare, 
w11000136, Thackeray, William Makepeace, William Makepeace, Thackeray, 
w11000137, Lytton, Edward Bulwer Lytton, Baron, Edward Bulwer Lytton, Lytton, Baron
w11000138, Sheldon, Charles M., Charles M., Sheldon, 
w11000139, Braidwood, James, James, Braidwood, 
w1100014, Harvey, William Fryer, William Fryer, Harvey, 
w11000140, Winslow, Horatio, Horatio, Winslow, 
w11000141, Shoghi, Effendi, Effendi, Shoghi, 
w11000142, Bryant, Jacob, Jacob, Bryant, 
w11000143, Janvier, Thomas A. (Thomas Allibone), Thomas A. (Thomas Allibone), Janvier, 
w11000144, Goldfrap, John Henry, John Henry, Goldfrap, 
w11000145, Alger, Horatio, Jr., Horatio, Alger, Jr.
w11000146, Garrett, Randall, Randall, Garrett, 
w11000147, Freas, Kelly, Kelly, Freas, 
w11000148, Pollard, Alfred W. (Alfred William), Alfred W. (Alfred William), Pollard, 
w11000149, Davenport, Cyril, Cyril, Davenport, 
w1100015, Maupassant, Guy de, Guy de, Maupassant, 
w11000150, Roger, Charles, Charles, Roger, 
w11000151, Wolfe, George Ellis, George Ellis, Wolfe, 
w11000152, Raine, William MacLeod, William MacLeod, Raine, 
w11000153, Mead, Lucia True Ames, Lucia True Ames, Mead, 
w11000154, Clark, Gordon, Gordon, Clark, 
w11000155, Allan, G. A. T. (George A. T.), G. A. T. (George A. T.), Allan, 
w11000156, Talbot, Frederick Arthur Ambrose, Frederick Arthur Ambrose, Talbot, 
w11000157, Burnand, F. C. (Francis Cowley), F. C. (Francis Cowley), Burnand, 
w11000158, Parkes, William Theodore, William Theodore, Parkes, 
w11000159, Robertson Scott, J. W. (John William), J. W. (John William), Robertson Scott, 
w1100016, O'Brien, Fitz James, Fitz James, O'Brien, 
w11000160, Persons, Helen M., Helen M., Persons, 
w11000161, Smith, George H. (George Henry), George H. (George Henry), Smith, 
w11000162, Bishop, Julia Truitt, Julia Truitt, Bishop, 
w11000163, Callwell, C. E. (Charles Edward), Sir, C. E. (Charles Edward), Callwell, Sir
w11000164, Casanova, Giacomo, Giacomo, Casanova, 
w11000165, Wiggin, Kate Douglas Smith, Kate Douglas Smith, Wiggin, 
w11000166, Smith, Nora Archibald, Nora Archibald, Smith, 
w11000167, MacKinstry, E. (Elizabeth), E. (Elizabeth), MacKinstry, 
w11000168, Meyer, Kuno, Kuno, Meyer, 
w11000169, Terry, W. E., W. E., Terry, 
w1100017, Scarborough, Dorothy, Dorothy, Scarborough, 
w11000170, Phillips, Rog, Rog, Phillips, 
w11000171, Rowe, Clarence H. (Clarence Herbert), Clarence H. (Clarence Herbert), Rowe, 
w11000172, Sinclair, Bertrand W., Bertrand W., Sinclair, 
w11000173, Hamm, T. D., T. D., Hamm, 
w11000174, Hoskins, Gayle Porter, Gayle Porter, Hoskins, 
w11000175, Lockhart, Caroline, Caroline, Lockhart, 
w11000176, Lowell, James Russell, James Russell, Lowell, 
w11000177, Watkins, Shirley, Shirley, Watkins, 
w11000178, Browne, Thomas, Sir, Thomas, Browne, Sir
w11000179, O'Shaughnessy, Edith, Edith, O'Shaughnessy, 
w1100018, Dunbar, Olivia Howard, Olivia Howard, Dunbar, 
w11000180, Ward, Humphry, Mrs., Humphry, Ward, Mrs.
w11000181, Brooks, Charles S. (Charles Stephen), Charles S. (Charles Stephen), Brooks, 
w11000182, Lewis, Allen, Allen, Lewis, 
w11000183, Jowett, Benjamin, Benjamin, Jowett, 
w11000184, Hewlett, Maurice, Maurice, Hewlett, 
w11000185, Lyman, William Denison, William Denison, Lyman, 
w11000186, Wairy, Louis Constant, Louis Constant, Wairy, 
w11000187, Clark, Walter, Walter, Clark, 
w11000188, Collingwood, Harry, Harry, Collingwood, 
w11000189, Overend, William Heysham, William Heysham, Overend, 
w1100019, Poe, Edgar Allan, Edgar Allan, Poe, 
w11000190, Hildibrand, Henri Théophile, Henri Théophile, Hildibrand, 
w11000191, Verne, Jules, Jules, Verne, 
w11000192, Bayard, Émile Antoine, Émile Antoine, Bayard, 
w11000193, Neuville, Alphonse Marie de, Alphonse Marie de, Neuville, 
w11000194, Brooks, Henry M. (Henry Mason), Henry M. (Henry Mason), Brooks, 
w11000195, Creswicke, Louis, Louis, Creswicke, 
w11000196, Blade, Alexander, Alexander, Blade, 
w11000197, Herford, R. Travers (Robert Travers), R. Travers (Robert Travers), Herford, 
w11000198, Upham, Charles Wentworth, Charles Wentworth, Upham, 
w11000199, Ryan, Agnes E., Agnes E., Ryan, 
w110002, Cobb, Irvin S. (Irvin Shrewsbury), Irvin S. (Irvin Shrewsbury), Cobb, 
w1100020, Freeman, Mary Eleanor Wilkins, Mary Eleanor Wilkins, Freeman, 
w11000200, Abbott, Jacob, Jacob, Abbott, 
w11000201, Grefé, Will, Will, Grefé, 
w11000202, Darling, Charles R. (Charles Robert), Charles R. (Charles Robert), Darling, 
w11000203, Harper, Frances Ellen Watkins, Frances Ellen Watkins, Harper, 
w11000204, Foster, Frances Smith, Frances Smith, Foster, 
w11000205, Hatherell, William, William, Hatherell, 
w11000206, Watson, Nowell Lake, Nowell Lake, Watson, 
w11000207, Davidson, Thomas, Thomas, Davidson, 
w11000208, Cuffe, Paul, Paul, Cuffe, 
w11000209, MacFarlane, Charles, Charles, MacFarlane, 
w1100021, Le Gallienne, Richard, Richard, Le Gallienne, 
w11000210, Miller, Samuel Henry, Samuel Henry, Miller, 
w11000211, Newnes, George, George, Newnes, 
w11000212, Gallini, Giovanni-Andrea, Giovanni-Andrea, Gallini, 
w11000213, Brackett, Anna C. (Anna Callender), Anna C. (Anna Callender), Brackett, 
w11000214, Lever, Charles James, Charles James, Lever, 
w11000215, Smith, Horace, Horace, Smith, 
w11000216, Crane, Walter, Walter, Crane, 
w11000217, Rogers, Henry Raymond, Henry Raymond, Rogers, 
w11000218, Wagner, J. B. (Joseph Bernard), J. B. (Joseph Bernard), Wagner, 
w11000219, Chaplin, Heman White, Heman White, Chaplin, 
w1100022, Bierce, Ambrose, Ambrose, Bierce, 
w11000220, Bok, Edward William, Edward William, Bok, 
w11000221, Motley, John Lothrop, John Lothrop, Motley, 
w11000222, Latham, R. G. (Robert Gordon), R. G. (Robert Gordon), Latham, 
w11000223, Thompson, Francis, Francis, Thompson, 
w11000224, Brooks, Amy, Amy, Brooks, 
w11000225, Cooke, Marjorie Benton, Marjorie Benton, Cooke, 
w11000226, Blumenschein, Mary Shepard Greene, Mary Shepard Greene, Blumenschein, 
w11000227, Rose, J. Holland (John Holland), J. Holland (John Holland), Rose, 
w11000228, Vandercook, Margaret, Margaret, Vandercook, 
w11000229, Holcombe, Arthur N. (Arthur Norman), Arthur N. (Arthur Norman), Holcombe, 
w1100023, Chambers, Robert W. (Robert William), Robert W. (Robert William), Chambers, 
w11000230, Munro, William Bennett, William Bennett, Munro, 
w11000231, Bouton, S. Miles (Stephen Miles), S. Miles (Stephen Miles), Bouton, 
w11000232, Denton, W. (William), W. (William), Denton, 
w11000233, Mijatovich, Elodie Lawton, Elodie Lawton, Mijatovich, 
w11000234, Masefield, John, John, Masefield, 
w11000235, Murray, W. H. H. (William Henry Harrison), W. H. H. (William Henry Harrison), Murray, 
w11000236, Dixon, Thomas, Thomas, Dixon, 
w11000237, Brooks, John Graham, John Graham, Brooks, 
w11000238, Kilpatrick, James Alexander, James Alexander, Kilpatrick, 
w11000239, Richardson, James, James, Richardson, 
w1100024, Closser, Myla Jo, Myla Jo, Closser, 
w11000240, Vardon, Harry, Harry, Vardon, 
w11000241, Finley, Martha, Martha, Finley, 
w11000242, Rousseau, Jean-Jacques, Jean-Jacques, Rousseau, 
w11000243, Gordon, Nelly Kinzie, Nelly Kinzie, Gordon, 
w11000244, Helm, Linai T. (Linai Taliaferro), Linai T. (Linai Taliaferro), Helm, 
w11000245, Wollstonecraft, Mary, Mary, Wollstonecraft, 
w11000246, Whitney, A. D. T. (Adeline Dutton Train), A. D. T. (Adeline Dutton Train), Whitney, 
w11000247, Waller, A. R. (Alfred Rayney), A. R. (Alfred Rayney), Waller, 
w11000248, Beaumont, Francis, Francis, Beaumont, 
w11000249, Fletcher, John, John, Fletcher, 
w1100025, Andreyev, Leonid, Leonid, Andreyev, 
w11000250, Howard, Robert E. (Robert Ervin), Robert E. (Robert Ervin), Howard, 
w11000251, Gladding, Effie Price, Effie Price, Gladding, 
w11000252, Gronniosaw, James Albert Ukawsaw, James Albert Ukawsaw, Gronniosaw, 
w11000253, Wells, H. G. (Herbert George), H. G. (Herbert George), Wells, 
w11000254, Thorpe, Benjamin, Benjamin, Thorpe, 
w11000255, Aelfric, Abbot of Eynsham, Abbot of Eynsham, Aelfric, 
w11000256, De Forest, Marian, Marian, De Forest, 
w11000257, Bonstelle, Jessie, Jessie, Bonstelle, 
w11000258, Ashton, John, John, Ashton, 
w11000259, Tolstoy, Leo, graf, Leo, Tolstoy, graf
w1100026, France, Anatole, Anatole, France, 
w11000260, Tucker, Benjamin Ricketson, Benjamin Ricketson, Tucker, 
w11000261, Macmillan, Hugh, Hugh, Macmillan, 
w11000262, Scharff, R. F. (Robert Francis), R. F. (Robert Francis), Scharff, 
w11000263, Wilson, Joseph T. (Joseph Thomas), Joseph T. (Joseph Thomas), Wilson, 
w11000264, Anderson, Sydney, Sydney, Anderson, 
w11000265, Eggleston, George Cary, George Cary, Eggleston, 
w11000266, Dumas, Alexandre, Alexandre, Dumas, 
w11000267, McWhorter, Lucullus Virgil, Lucullus Virgil, McWhorter, 
w11000268, Leask, W. Keith (William Keith), W. Keith (William Keith), Leask, 
w11000269, Yonge, Charles Duke, Charles Duke, Yonge, 
w1100027, Machen, Arthur, Arthur, Machen, 
w11000270, Walpole, Horace, Horace, Walpole, 
w11000271, Barnard, William Francis, William Francis, Barnard, 
w11000272, Cleland, Robert, Robert, Cleland, 
w11000273, Spearman, Frank H. (Frank Hamilton), Frank H. (Frank Hamilton), Spearman, 
w11000274, Flint, Timothy, Timothy, Flint, 
w11000275, Zola, Émile, Émile, Zola, 
w11000276, Starkweather, C. C., C. C., Starkweather, 
w11000277, Clifton, A. B., A. B., Clifton, 
w11000278, Mabini, Apolinario, Apolinario, Mabini, 
w11000279, Vinycomb, John, John, Vinycomb, 
w1100028, Loti, Pierre, Pierre, Loti, 
w11000280, Porter, Eleanor H. (Eleanor Hodgman), Eleanor H. (Eleanor Hodgman), Porter, 
w11000281, Longfellow, Henry Wadsworth, Henry Wadsworth, Longfellow, 
w11000282, Hoben, Allan, Allan, Hoben, 
w11000283, Brazil, Angela, Angela, Brazil, 
w11000284, Wylie, Jenny, Jenny, Wylie, 
w11000285, Talman, Charles Fitzhugh, Charles Fitzhugh, Talman, 
w11000286, Quiller-Couch, Arthur, Arthur, Quiller-Couch, 
w11000287, Price, Derek J. de Solla (Derek John de Solla), Derek J. de Solla (Derek John de Solla), Price, 
w11000288, Robb, John S., John S., Robb, 
w11000289, Darley, Felix Octavius Carr, Felix Octavius Carr, Darley, 
w1100029, Widger, David, David, Widger, 
w11000290, Mason, Otis Tufton, Otis Tufton, Mason, 
w11000291, Hogg, James, James, Hogg, 
w11000292, Roberts, E. S. (Ernest Stewart), E. S. (Ernest Stewart), Roberts, 
w11000293, Caius, John, John, Caius, 
w11000294, Novello, Sabilla, Sabilla, Novello, 
w11000295, Schiller, Friedrich, Friedrich, Schiller, 
w11000296, Fewkes, Jesse Walter, Jesse Walter, Fewkes, 
w11000297, Williston, Timothy, Timothy, Williston, 
w11000298, Thurston, R. B. (Richard Bowers), R. B. (Richard Bowers), Thurston, 
w11000299, Baldwin, A. C. (Abraham Chittenden), A. C. (Abraham Chittenden), Baldwin, 
w110003, Maclaren, Ian, Ian, Maclaren, 
w1100030, Ruskin, John, John, Ruskin, 
w11000300, Emshwiller, Ed, Ed, Emshwiller, 
w11000301, Shaara, Michael, Michael, Shaara, 
w11000302, Alcott, Louisa May, Louisa May, Alcott, 
w11000303, McGuinn, Roger, Roger, McGuinn, 
w11000304, Beddard, Frank E. (Frank Evers), Frank E. (Frank Evers), Beddard, 
w11000305, Speed, Harold, Harold, Speed, 
w11000306, Kitton, Frederic George, Frederic George, Kitton, 
w11000307, Scott, A. O. (Arthur O.), A. O. (Arthur O.), Scott, 
w11000308, Speed, Nell, Nell, Speed, 
w11000309, Gates, Eleanor, Eleanor, Gates, 
w1100031, Shelley, Mary Wollstonecraft, Mary Wollstonecraft, Shelley, 
w11000310, Dewar, Douglas, Douglas, Dewar, 
w11000311, Linscott, Herbert B., Mrs., Herbert B., Linscott, Mrs.
w11000312, Morris, Gouverneur, Gouverneur, Morris, 
w11000313, Hutt, Henry, Henry, Hutt, 
w11000314, Rorer, S. T., S. T., Rorer, 
w11000315, Roosevelt, Theodore, Theodore, Roosevelt, 
w11000316, England and Wales. Sovereign (1558-1603 : Elizabeth I), England, and Wales. Sovereign (1558-1603 : Elizabeth I), 
w11000317, Wharton, Edith, Edith, Wharton, 
w11000318, Gosse, Edmund, Edmund, Gosse, 
w11000319, Ibsen, Henrik, Henrik, Ibsen, 
w1100032, Iyenaga, T. (Toyokichi), T. (Toyokichi), Iyenaga, 
w11000320, Archer, William, William, Archer, 
w11000321, Brand, Max, Max, Brand, 
w11000322, Meany, Edmond S. (Edmond Stephen), Edmond S. (Edmond Stephen), Meany, 
w11000323, Pater, Walter, Walter, Pater, 
w11000324, Cervantes Saavedra, Miguel de, Miguel de, Cervantes Saavedra, 
w11000325, Ormsby, John, John, Ormsby, 
w11000326, Doré, Gustave, Gustave, Doré, 
w11000327, Ford, H. J. (Henry Justice), H. J. (Henry Justice), Ford, 
w11000328, Standish, Burt L., Burt L., Standish, 
w11000329, Buckrose, J. E., J. E., Buckrose, 
w1100033, Horne, Charles F. (Charles Francis), Charles F. (Charles Francis), Horne, 
w11000330, Hickox, Chauncey, Chauncey, Hickox, 
w11000331, Field, Margret, Margret, Field, 
w11000332, Guernsey, Clara F. (Clara Florida), Clara F. (Clara Florida), Guernsey, 
w11000333, Hosmer, Margaret, Margaret, Hosmer, 
w11000334, Spofford, Harriet Elizabeth Prescott, Harriet Elizabeth Prescott, Spofford, 
w11000335, Minor, R. D., R. D., Minor, 
w11000336, Hadermann, J. R., J. R., Hadermann, 
w11000337, Hay, John, John, Hay, 
w11000338, Hooper, Lucy Hamilton, Lucy Hamilton, Hooper, 
w11000339, De Forest, John William, John William, De Forest, 
w1100034, Rudd, John, LL. D., John, Rudd, LL. D.
w11000340, Beerbohm, Max, Sir, Max, Beerbohm, Sir
w11000341, Walker, W. W. (William Wesley), W. W. (William Wesley), Walker, 
w11000342, Garland, Hamlin, Hamlin, Garland, 
w11000343, Beever, Susanna, Susanna, Beever, 
w11000344, Havell, E. B. (Ernest Binfield), E. B. (Ernest Binfield), Havell, 
w11000345, Stevens, William Dodge, William Dodge, Stevens, 
w11000346, Adams, Samuel Hopkins, Samuel Hopkins, Adams, 
w11000347, Schoonover, Frank E., Frank E., Schoonover, 
w11000348, Seltzer, Charles Alden, Charles Alden, Seltzer, 
w11000349, Tupper, Martin Farquhar, Martin Farquhar, Tupper, 
w1100035, Austin, Walter F. (Walter Forward), Walter F. (Walter Forward), Austin, 
w11000350, Harris, Credo Fitch, Credo Fitch, Harris, 
w11000351, Opper, Frederick Burr, Frederick Burr, Opper, 
w11000352, Eggleston, Edward, Edward, Eggleston, 
w11000353, Starkweather, William Edward Bloomfield, William Edward Bloomfield, Starkweather, 
w11000354, Carey, Rosa Nouchette, Rosa Nouchette, Carey, 
w11000355, Williams, Leslie, Mrs., Leslie, Williams, Mrs.
w11000356, Fitzmaurice-Kelly, James, James, Fitzmaurice-Kelly, 
w11000357, Schnitzler, Arthur, Arthur, Schnitzler, 
w11000358, Grundy, Sydney, Sydney, Grundy, 
w11000359, Day, Lewis F. (Lewis Foreman), Lewis F. (Lewis Foreman), Day, 
w1100036, Johnson, Rossiter, Rossiter, Johnson, 
w11000360, Sermolino, Maria, Maria, Sermolino, 
w11000361, De Carlo, Camillo, Camillo, De Carlo, 
w11000362, Guglielmotti, Emilio, Emilio, Guglielmotti, 
w11000363, Bancroft, Hubert Howe, Hubert Howe, Bancroft, 
w11000364, Reed, Myrtle, Myrtle, Reed, 
w11000365, Anstey, F., F., Anstey, 
w11000366, Southworth, Emma Dorothy Eliza Nevitte, Emma Dorothy Eliza Nevitte, Southworth, 
w11000367, Guizot, François, François, Guizot, 
w11000368, Black, Robert, Robert, Black, 
w11000369, Bicket, James, James, Bicket, 
w1100037, Goodrich, Samuel G. (Samuel Griswold), Samuel G. (Samuel Griswold), Goodrich, 
w11000370, Whiton, James Morris, James Morris, Whiton, 
w11000371, Goodwin, Harold L. (Harold Leland), Harold L. (Harold Leland), Goodwin, 
w11000372, Barker, John Marshall, John Marshall, Barker, 
w11000373, Twain, Mark, Mark, Twain, 
w11000374, Potter, Beatrix, Beatrix, Potter, 
w11000375, Ackerman, Carl W. (Carl William), Carl W. (Carl William), Ackerman, 
w11000376, Dalquest, Walter Woelber, Walter Woelber, Dalquest, 
w11000377, Hall, E. Raymond (Eugene Raymond), E. Raymond (Eugene Raymond), Hall, 
w11000378, Smith, George O. (George Oliver), George O. (George Oliver), Smith, 
w11000379, Leiber, Fritz, Fritz, Leiber, 
w1100038, Kishpaugh, Robert A., Robert A., Kishpaugh, 
w11000380, Taylor, Henry Osborn, Henry Osborn, Taylor, 
w11000381, Hueston, Ethel, Ethel, Hueston, 
w11000382, Summers, Dudley Gloyne, Dudley Gloyne, Summers, 
w11000383, Bigelow, Maurice A. (Maurice Alpheus), Maurice A. (Maurice Alpheus), Bigelow, 
w11000384, Donnell, Annie Hamilton, Annie Hamilton, Donnell, 
w11000385, Elliott, Elizabeth Shippen Green, Elizabeth Shippen Green, Elliott, 
w11000386, Hearn, Lafcadio, Lafcadio, Hearn, 
w11000387, Gautier, Théophile, Théophile, Gautier, 
w11000388, Seton, Ernest Thompson, Ernest Thompson, Seton, 
w11000389, Marchand, J. N., J. N., Marchand, 
w1100039, Armitage, Robert B., Robert B., Armitage, 
w11000390, Lewis, Alfred Henry, Alfred Henry, Lewis, 
w11000391, Dunton, W. Herbert, W. Herbert, Dunton, 
w11000392, Belloc, Hilaire, Hilaire, Belloc, 
w11000393, B. T. B. (Basil Temple Blackwood), B., T. B. (Basil Temple Blackwood), 
w11000394, Dodd, Anna Bowman, Anna Bowman, Dodd, 
w11000395, Gissing, George, George, Gissing, 
w11000396, Farrar, F. W. (Frederic William), F. W. (Frederic William), Farrar, 
w11000397, Nicoll, W. Robertson (William Robertson), Sir, W. Robertson (William Robertson), Nicoll, Sir
w11000398, Maclean, Norman, Norman, Maclean, 
w11000399, Scott, Walter, Walter, Scott, 
w110004, Henty, G. A. (George Alfred), G. A. (George Alfred), Henty, 
w1100040, Bishop, Nathaniel H. (Nathaniel Holmes), Nathaniel H. (Nathaniel Holmes), Bishop, 
w11000400, Glover, Arnold, Arnold, Glover, 
w11000401, Piffard, Harold, Harold, Piffard, 
w11000402, Meinhold, Wilhelm, Wilhelm, Meinhold, 
w11000403, Pickering, Edward C. (Edward Charles), Edward C. (Edward Charles), Pickering, 
w11000404, Archer, Jean C., Jean C., Archer, 
w11000405, Harmon, Jim, Jim, Harmon, 
w11000406, Gaughan, Jack, Jack, Gaughan, 
w11000407, Bruce, H. Addington (Henry Addington), H. Addington (Henry Addington), Bruce, 
w11000408, Eliot, T. S. (Thomas Stearns), T. S. (Thomas Stearns), Eliot, 
w11000409, Lebert, Marie, Marie, Lebert, 
w1100041, Lang, Andrew, Andrew, Lang, 
w11000410, Rid, Samuel, Samuel, Rid, 
w11000411, De Lancey, Magdalene, Lady, Magdalene, De Lancey, Lady
w11000412, Dickens, Charles, Charles, Dickens, 
w11000413, Ward, B. R. (Bernard Rowland), B. R. (Bernard Rowland), Ward, 
w11000414, Grant, James, James, Grant, 
w11000415, Berdoe, Edward, Edward, Berdoe, 
w11000416, MacDonald, George, George, MacDonald, 
w11000417, Huxley, Thomas Henry, Thomas Henry, Huxley, 
w11000418, Huxley, Leonard, Leonard, Huxley, 
w11000419, James, M. R. (Montague Rhodes), M. R. (Montague Rhodes), James, 
w1100042, D'Anvers, N., N., D'Anvers, 
w11000420, Cruikshank, George, George, Cruikshank, 
w11000421, Hone, William, William, Hone, 
w11000422, Gaskell, Elizabeth Cleghorn, Elizabeth Cleghorn, Gaskell, 
w11000423, Smedley, W. T. (William Thomas), W. T. (William Thomas), Smedley, 
w11000424, Malleson, F. A. (Frederick Amadeus), F. A. (Frederick Amadeus), Malleson, 
w11000425, Turnbull, Robert, Robert, Turnbull, 
w11000426, Rossetti, William Michael, William Michael, Rossetti, 
w11000427, Hood, Thomas, Thomas, Hood, 
w11000428, Colden, Cadwallader, Cadwallader, Colden, 
w11000429, Babbitt, Katharine, Katharine, Babbitt, 
w1100043, Hare, T. Leman (Thomas Leman), T. Leman (Thomas Leman), Hare, 
w11000430, Cuvru-Magot, Henriette, Henriette, Cuvru-Magot, 
w11000431, Beach, Seth Curtis, Seth Curtis, Beach, 
w11000432, Graham, Frances W., Frances W., Graham, 
w11000433, Gardenier, Georgeanna M., Georgeanna M., Gardenier, 
w11000434, Wagner, Leopold, Leopold, Wagner, 
w11000435, Miller, Thomas, Thomas, Miller, 
w11000436, Sellers, William E., William E., Sellers, 
w11000437, Northam, Henry C., Henry C., Northam, 
w11000438, Castlemon, Harry, Harry, Castlemon, 
w11000439, Robinson, Charles S. (Charles Seymour), Charles S. (Charles Seymour), Robinson, 
w1100044, Foster, W. Bert (Walter Bertram), W. Bert (Walter Bertram), Foster, 
w11000440, Jessup, Henry Harris, Henry Harris, Jessup, 
w11000441, Riley, Isaac, Isaac, Riley, 
w11000442, Anderson, Edward L. (Edward Lowell), Edward L. (Edward Lowell), Anderson, 
w11000443, Collier, Price, Price, Collier, 
w11000444, Tailer, T. Suffern, T. Suffern, Tailer, 
w11000445, Penrose, Margaret, Margaret, Penrose, 
w11000446, Braybrooke, Richard Griffin, Baron, Richard Griffin, Braybrooke, Baron
w11000447, Pepys, Samuel, Samuel, Pepys, 
w11000448, Wheatley, Henry B. (Henry Benjamin), Henry B. (Henry Benjamin), Wheatley, 
w11000449, Bright, Mynors, Mynors, Bright, 
w1100045, Carter, F. A. (Freeland A.), F. A. (Freeland A.), Carter, 
w11000450, French, Allen, Allen, French, 
w11000451, Dobie, Charles Caldwell, Charles Caldwell, Dobie, 
w11000452, Holmes, Mary Jane, Mary Jane, Holmes, 
w11000453, Stevens, C. M. (Charles McClellan), C. M. (Charles McClellan), Stevens, 
w11000454, Meyer, Robert B., Robert B., Meyer, 
w11000455, Richmond, Legh, Legh, Richmond, 
w11000456, Polidori, John William, John William, Polidori, 
w11000457, Vizetelly, Ernest Alfred, Ernest Alfred, Vizetelly, 
w11000458, Gregory, Edward W. (Edward William), Edward W. (Edward William), Gregory, 
w11000459, Maskell, Henry Parr, Henry Parr, Maskell, 
w1100046, Society of Friends, Society, of Friends, 
w11000460, Melville, Herman, Herman, Melville, 
w11000461, Leprohon, Mrs. (Rosanna Eleanor), Mrs. (Rosanna Eleanor), Leprohon, 
w11000462, Conrad, Joseph, Joseph, Conrad, 
w11000463, Delany, Martin Robison, Martin Robison, Delany, 
w11000464, Seneca, Lucius Annaeus, Lucius Annaeus, Seneca, 
w11000465, Stewart, Aubrey, Aubrey, Stewart, 
w11000466, Hungerford, Edward, Edward, Hungerford, 
w11000467, Raisin, Jacob S. (Jacob Salmon), Jacob S. (Jacob Salmon), Raisin, 
w11000468, Greatorex, Elizabeth Eleanor, Elizabeth Eleanor, Greatorex, 
w11000469, Abbott, John S. C. (John Stevens Cabot), John S. C. (John Stevens Cabot), Abbott, 
w1100047, Gairdner, James, James, Gairdner, 
w11000470, Edgeworth, Maria, Maria, Edgeworth, 
w11000471, Samachson, Joseph, Joseph, Samachson, 
w11000472, Harris, Richard, Richard, Harris, 
w11000473, Isham, Frederic Stewart, Frederic Stewart, Isham, 
w11000474, Ralph, Lester, Lester, Ralph, 
w11000475, Redgrove, H. Stanley (Herbert Stanley), H. Stanley (Herbert Stanley), Redgrove, 
w11000476, Deland, Margaret Wade Campbell, Margaret Wade Campbell, Deland, 
w11000477, Schoenherr, John, John, Schoenherr, 
w11000478, Vachell, Horace Annesley, Horace Annesley, Vachell, 
w11000479, Leinster, Murray, Murray, Leinster, 
w1100048, Young, Florence Liley, Florence Liley, Young, 
w11000480, Corelli, Marie, Marie, Corelli, 
w11000481, Kellogg, Vernon L. (Vernon Lyman), Vernon L. (Vernon Lyman), Kellogg, 
w11000482, Winter, Milo, Milo, Winter, 
w11000483, Kellogg, Charlotte, Charlotte, Kellogg, 
w11000484, Frank, Helena, Helena, Frank, 
w11000485, Smyth, J. Paterson (John Paterson), J. Paterson (John Paterson), Smyth, 
w11000486, Martineau, Harriet, Harriet, Martineau, 
w11000487, Rackham, Arthur, Arthur, Rackham, 
w11000488, Thursfield, James R. (James Richard), James R. (James Richard), Thursfield, 
w11000489, Stevens, Hazard, Hazard, Stevens, 
w1100049, Poulsson, Emilie, Emilie, Poulsson, 
w11000490, Schreiner, Olive, Olive, Schreiner, 
w11000491, Mayor, F. M. (Flora Macdonald), F. M. (Flora Macdonald), Mayor, 
w11000492, Bartlett, Frederick Orin, Frederick Orin, Bartlett, 
w11000493, Newell, Peter, Peter, Newell, 
w11000494, Wood, Thomas, Thomas, Wood, 
w11000495, Iraq Study Group (U.S.), Iraq, Study Group (U.S.), 
w11000496, Andersen, H. C. (Hans Christian), H. C. (Hans Christian), Andersen, 
w11000497, Lowell, Amy, Amy, Lowell, 
w11000498, Hall, H. R. Wilton, H. R. Wilton, Hall, 
w11000499, Hoare, Thomas W., Thomas W., Hoare, 
w110005, Kingsley, Frances Eliza Grenfell, Frances Eliza Grenfell, Kingsley, 
w1100050, Zwilgmeyer, Dikken, Dikken, Zwilgmeyer, 
w11000500, Darwin, Charles, Charles, Darwin, 
w11000501, Young, F. E. Mills (Florence Ethel Mills), F. E. Mills (Florence Ethel Mills), Young, 
w11000502, Luhr, Otto, Otto, Luhr, 
w11000503, Friedl, Herman, Herman, Friedl, 
w11000504, Bretsnyder, W., W., Bretsnyder, 
w11000505, Fuller, Alvarado M. (Alvarado Mortimer), Alvarado M. (Alvarado Mortimer), Fuller, 
w11000506, Stowe, Harriet Beecher, Harriet Beecher, Stowe, 
w11000507, Goetschius, Percy, Percy, Goetschius, 
w11000508, Coleman, Ralph P. (Ralph Pallen), Ralph P. (Ralph Pallen), Coleman, 
w11000509, Fletcher, Lawrence, Lawrence, Fletcher, 
w1100051, Orpen, Adela E. (Adela Elizabeth Richards), Adela E. (Adela Elizabeth Richards), Orpen, 
w11000510, Relyea, C. M. (Charles M.), C. M. (Charles M.), Relyea, 
w11000511, Riley, James Whitcomb, James Whitcomb, Riley, 
w11000512, Baker, Rollin H. (Rollin Harold), Rollin H. (Rollin Harold), Baker, 
w11000513, Russell, Robert J., Robert J., Russell, 
w11000514, Palliser, Bury, Mrs., Bury, Palliser, Mrs.
w11000515, May, Florence, Florence, May, 
w11000516, Winnington Ingram, Arthur F. (Arthur Foley), Arthur F. (Arthur Foley), Winnington Ingram, 
w11000517, Rubin, Mann, Mann, Rubin, 
w11000518, Connor, Ralph, Ralph, Connor, 
w11000519, Evans, Larry, Larry, Evans, 
