bookID,cityID,count
929,2759040,1
929,2759794,1
929,2868936,1
929,3070291,2
9294,1218667,9
9294,1278969,12
9294,1688253,2
9294,1688749,1
9294,1690039,3
9294,1730097,5
9294,1937031,1
9294,2130421,1
9294,2278158,1
9294,2507480,1
9294,2523920,1
9294,2634715,13
9294,2637487,2
9294,2643071,5
9294,2643123,1
9294,2649715,1
9294,2657030,1
9294,2772400,1
9294,281184,1
9294,2868936,2
9294,2911298,1
9294,2988507,3
9294,3018095,8
9294,3070291,4
9294,3110983,5
9294,3172394,1
9294,3404545,1
9294,3441702,1
9294,3445307,2
9294,3458397,1
9294,3465881,44
9294,3472343,3
9294,3472370,1
9294,3521081,4
9294,3522507,1
9294,3537906,8
9294,3563145,8
9294,3564436,1
9294,3571824,1
9294,3657509,1
9294,3688451,12
9294,3711668,1
9294,3837213,1
9294,3911925,1
929,4393217,1
9294,3936456,1
9294,3946083,4
9294,3981941,1
9294,4101241,3
9294,4109785,2
9294,4141363,24
9294,4156920,1
9294,4160610,6
9294,4172086,1
9294,4223379,1
9294,4342816,1
9294,4347778,1
9294,4391812,8
9294,4409896,1
9294,4464368,1
9294,4517698,4
9294,4560349,2
9294,4575352,82
9294,4695317,1
9294,4709272,5
9294,4711725,3
9294,4728328,1
9294,4733624,1
9294,4845585,1
9294,4889447,1
9294,4920808,4
9294,4930956,2
9294,4942618,1
9294,4948247,1
9294,4948403,5
9294,5006250,1
9294,5013924,14
9294,5014051,2
9294,5069297,3
9294,5071348,1
9294,5110629,5
9294,5128581,1
9294,5156371,21
9294,5158164,4
9294,5165734,40
9294,5225631,1
9294,5245193,1
9294,5324105,4
9294,5333689,3
9294,5334519,60
9294,5349705,2
9294,5350734,8
9294,5372253,1
9294,5374361,21
9294,5389489,51
9294,5391749,1
9294,5391959,37
9294,5392171,3
9294,5392952,1
9294,5423294,1
9294,5435464,2
9294,5490263,7
9294,5586437,1
9294,5642934,3
9294,5656882,2
9294,5781061,2
9294,5786882,3
9294,5821086,5
9294,5830062,47
9294,5844096,2
9294,5861897,2
9294,5907983,3
9294,6173331,12
9294,668732,1
929,4711725,1
9294,8858089,1
9295,1002145,1
9295,2935022,1
9295,3070291,1
9295,4711725,1
9295,5780993,1
9295,5861897,1
929,5780993,1
929,5861897,1
9296,2643071,1
9296,2643743,3
9296,2868936,3
9296,2969679,1
9296,2990999,5
9296,3037423,23
9296,3070291,1
9296,3176959,2
9296,4160610,2
9296,4376482,2
9296,4389418,1
9296,4711725,1
9296,5224151,1
9296,5327298,5
9296,5512862,2
9296,5780993,1
9296,5861897,1
9296,668732,3
9296,884141,23
9297,1002145,5
9297,1006984,1
9297,1218667,4
9297,2206371,1
9297,2637487,1
9297,2640194,3
9297,2640729,4
9297,2643743,57
9297,2647383,1
9297,2649808,3
9297,2651048,1
9297,2654710,1
9297,2759040,1
9297,2759794,1
9297,2761369,1
9297,2868936,3
9297,2988507,2
9297,2990440,1
9297,3070291,2
9297,3369157,4
9297,3439525,1
9297,4711725,1
9297,4733624,1
9297,4900373,1
9297,5096699,1
9297,5780993,1
9297,5861897,1
9297,6162949,1
9297,6174041,1
9297,6178582,1
9297,993800,1
9298,2073124,2
9298,2643743,4
9298,2990440,1
9298,3070291,1
9298,3164603,1
9298,3169070,6
9298,3176959,1
9298,4170688,2
9298,4711725,1
9298,4733624,1
9298,5013924,4
9298,5780993,1
9298,5861897,1
9298,6053154,4
9299,1937031,8
9299,2523920,14
9299,2524170,2
9299,2524907,22
9299,2758602,2
9299,2759040,1
9299,2868936,2
9299,3070291,2
9299,3117735,6
9299,3171168,33
9299,3172394,33
9299,3174659,2
9299,3182179,8
9299,3439525,1
9299,3979802,3
9299,4711725,1
